turista_id,latitud,longitud,timestamp,tipo_turista,lugar_frecuentado
1,-43.095543,-73.597535,2026-04-06 02:33:27,internacional,Quellón
2,-41.871997,-73.847252,2026-12-13 11:42:58,nacional,Ancud
3,-42.628505,-74.106014,2026-03-26 21:51:13,internacional,Cucao
4,-42.643118,-74.121917,2026-10-06 01:47:11,residente,Cucao
5,-41.8835,-73.81574,2026-12-04 14:27:58,nacional,Ancud
6,-41.874955,-73.835853,2026-03-02 09:10:26,internacional,Ancud
7,-42.364508,-73.640259,2026-05-20 09:55:49,excursionista,Dalcahue
8,-42.625089,-74.102757,2026-06-28 10:09:00,nacional,Cucao
9,-42.610406,-73.765076,2026-09-02 03:20:51,excursionista,Chonchi
10,-42.622176,-74.10171,2026-09-14 19:25:15,internacional,Cucao
11,-42.343359,-73.654082,2026-12-03 12:12:47,nacional,Dalcahue
12,-42.628073,-73.747015,2026-05-22 16:28:56,internacional,Chonchi
13,-42.395068,-73.629644,2026-09-30 13:26:21,nacional,Dalcahue
14,-42.639315,-74.124787,2026-04-06 01:48:11,internacional,Cucao
15,-42.663092,-73.734859,2026-09-06 13:13:48,internacional,Chonchi
16,-43.132052,-73.589109,2026-01-22 17:22:46,internacional,Quellón
17,-42.47642,-73.779149,2026-01-26 16:55:21,internacional,Castro
18,-42.613441,-74.119069,2026-09-12 13:07:52,residente,Cucao
19,-42.604259,-73.78932,2026-02-25 11:39:35,excursionista,Chonchi
20,-41.86921,-73.797196,2026-04-13 00:55:45,residente,Ancud
21,-42.634819,-74.100616,2026-02-23 17:20:43,residente,Cucao
22,-42.481301,-73.797742,2026-03-01 08:35:03,internacional,Castro
23,-43.123957,-73.613536,2026-05-29 04:56:58,residente,Quellón
24,-42.624803,-74.085252,2026-01-05 11:00:39,nacional,Cucao
25,-43.095716,-73.636476,2026-10-26 11:51:33,excursionista,Quellón
26,-42.485451,-73.75183,2026-01-02 06:14:54,excursionista,Castro
27,-42.622991,-74.129468,2026-02-11 07:49:14,excursionista,Cucao
28,-43.130174,-73.617177,2026-05-26 05:07:46,internacional,Quellón
29,-42.585622,-74.119824,2026-12-23 16:58:47,nacional,Cucao
30,-42.626204,-74.10491,2026-12-27 19:49:36,excursionista,Cucao
31,-42.377715,-73.637466,2026-08-09 08:08:59,nacional,Dalcahue
32,-42.486357,-73.794908,2026-10-23 09:19:33,internacional,Castro
33,-41.893124,-73.857083,2026-03-06 03:05:41,excursionista,Ancud
34,-42.611466,-74.121665,2026-03-24 06:06:08,internacional,Cucao
35,-43.14042,-73.562201,2026-09-10 09:18:09,excursionista,Quellón
36,-42.607669,-73.783834,2026-04-07 06:38:52,internacional,Chonchi
37,-42.495205,-73.741599,2026-03-31 08:49:29,internacional,Castro
38,-42.459667,-73.751033,2026-03-30 21:53:31,nacional,Castro
39,-42.478213,-73.767327,2026-04-03 10:21:50,excursionista,Castro
40,-43.140514,-73.614549,2026-10-08 22:08:04,residente,Quellón
